ID,TokenizedWords,TimeStamp
1601381816501272577,"['regulators', 'industry', 'helped', 'report', 'write', 'used', 'oil', 'playbook', ""b'rt"", 'pesticide', 'reveals', 'big', 'tobacco', 'lordgittins', 'disinformation']",2022-12-10 01:02:31
1601381813393317888,"[""b'dra"", 'armada', 'eeuu']",2022-12-10 01:02:31
1601381820817281024,"['absolutely', 'tiffanyandsadie']",2022-12-10 01:02:32
1601381819374792706,"['ujjh', ""b'https"", 'zep']",2022-12-10 01:02:32
1601381821694218241,"['pai', 'atr', 'kkkk', 'covid', 'nem', 'pega', 'nada', 'njuro', 'kskksks', 'kkkkk', 'ata', 'neu', 'come', 'vou', 'nele', 'falei', 'meu', 'sabe', 'aaata', 'sair', ""b'espirrei"", 'quadroo', 'disse']",2022-12-10 01:02:33
1601381820058062848,"['adults', 'covid', 'hospitals', 'just', 'shit', ""b'rt"", 'kids', 'anymore', 'near', 'flu', 'rsvirus', 'tripledemic', 'capacity', 'holy', 'drericding']",2022-12-10 01:02:32
1601381821400616961,"['jfante', 'appears', 'highly', 'really', 'info', 'draw', 'political', 'used', 'attention', 'globalbc', 'wanted', 'pain', 'spin', 'families', 'tbrandmueller', 'agree', 'jodyvance']",2022-12-10 01:02:33
1601381819961683968,"['https', 'fighthaven', 'vscg', 'zsd']",2022-12-10 01:02:32
1601381819416395777,"['duke', 'covid', 'kidney', 'transplant', 'old', 'refusing', 'surgeons', ""b'rt"", 'year', 'shot', 'cyberengel', 'girl', 'university', 'received']",2022-12-10 01:02:32
1601381821001781248,"['cold', 'thing', 'record', 'month', 'sluttydiluc', 'got', 'covid', 'uwu', 'common', 'shot', 'hope', 'good', 'like', 'soon', 'xba', 'noooooo', 'vaccine']",2022-12-10 01:02:33
1601381819454480385,"['company', 'covid', 'twitterfiles', 'conservatives', ""b'rt"", 'critics', 'tuckercarlson', 'https', 'confirms', 'shadowbanning', 'lockdown']",2022-12-10 01:02:32
1601381826224062464,"['alexiscorbiere', 'par', 'ferm', 'covid', 'pid', 'notre', 'est', 'cette', ""b'rt"", 'lits', 'mie', 'depuis', 'satur', 'pital', 'pendant', 'public', 'macron']",2022-12-10 01:02:34
1601381824215015424,"['dummy', 'unintelligent', 'nhave', 'wdbj', 'tells', 'duolinguz', 'good', 'affects', 'night', 'converse']",2022-12-10 01:02:33
1601381824487428098,"['improve', 'memory', 'increases', 'defense', 'pneumonia', 'cells', 'mrna', 'covid', 'nasal', 'boost', ""b'rt"", 'erictopol', 'like', 'pathogen', 'flu', 'vaccine']",2022-12-10 01:02:33
1601381825313918977,"['horrible', 'felt', 'shake', 'gave', 'took', 'rosazambonini', 'anti', ""b'rt"", 'started', 'upset', 'italian', 'day', 'oddly', 'racism', 'abuse']",2022-12-10 01:02:34
1601381822746677250,"['singing', ""b'finished""]",2022-12-10 01:02:33
1601381823665569792,"['stuff', 'cheap', 'pretend', 'jamescurle', 'hear', 'sorry', 'smoke', 'plus', 'like', 'good', 'tonight', 'vodka', 'smoking']",2022-12-10 01:02:33
1601381824038457344,"['celebrate', 'xbb', 'covid', 'caught', 'nasaaahhh', 'obeymeofficial']",2022-12-10 01:02:33
1601381825951469569,"['causa', 'motivo', 'legate', 'non', 'covid', 'malata', 'complicazioni', 'leucemia', 'perso', 'sorella', ""b'rt"", 'una', 'ambrosimirko', 'pure', 'nessun']",2022-12-10 01:02:34
1601381826957713408,"['xbb', 'xaf', 'vdfpvnbhub', 'xad', 'aaronotsuka', ""b'rt"", 'xbd', 'xbc', 'xef', 'nhttps', 'xba', 'xae']",2022-12-10 01:02:34
1601381829914685441,"['talks', 'virusesimmunity', 'prof', 'washingtonpost', ""b'rt"", 'yalemed', 'yalesph', 'amp', 'cit', 'brainfog', 'public', 'moment']",2022-12-10 01:02:35
1601381828589281280,"['xbb', 'mrna', 'covid', 'read', 'evasion', ""b'rt"", 'enhanced', 'nlink', 'represent', 'vaccines', 'amp', 'immune', 'risk', 'trialsiten']",2022-12-10 01:02:34
1601381828090560513,"['look', 'research', 'davidsacks', 'actual', 'unless', 'correct', 'drjbhattacharya']",2022-12-10 01:02:34
1601381828752904194,"['seek', 'elonmusk', 'definitely', 'tedlieu', 'https', 'hvtfw', 'need', 'help']",2022-12-10 01:02:34
1601381831747981312,"['sue', 'wheeler', 'need', 'people', 'liz', 'fauci']",2022-12-10 01:02:35
1601381830623887360,"['exposed', 'mepfoj', 'dupuisj', 'breach', 'covid', 'info', 'portal', 'booking', ""b'rt"", 'ontarians', 'https', 'personal', 'vaccine']",2022-12-10 01:02:35
1601381833656397824,"['xadas', 'que', 'hoy', 'xada', 'hospital', 'ayuso', 'vulnerab', ""b'rt"", 'los', 'aprob', 'hace', 'protocolo', 'imped', 'residentes', 'gobierno', 'trasladar', 'manuelrico']",2022-12-10 01:02:36
1601381834515894272,"['operation', 'surgery', 'delayed', 'urgent', 'baby', 'defect', ""b'rt"", 'needed', 'congenital', 'cnn', 'pare', 'heart', 'open', 'survive']",2022-12-10 01:02:36
1601381831068487681,"['forum', 'covid', 'experts', 'cliffs', ""b'rt"", 'senronjohnson', 'shared', 'vaccines', 'notes', 'coverage', 'version', 'highwiretalk', 'highwire']",2022-12-10 01:02:35
1601381832960143362,"['nthey', 'janey', 'hospital', 'remdesivir', ""b'rt"", 'use', 'enormous', 'paid', 'surcharge', 'entire', 'hospitals']",2022-12-10 01:02:35
1601381832745836545,"[""b'here"", 'performance', 'covid', 'school', 'force', 'mask', 'sold', 'rsv', 'kate', 'wearing', 'raging', 'packed', 'barely', 'amp', 'flu', 'play', 'high']",2022-12-10 01:02:35
1601381832519430144,"['ein', 'psholstein', 'konnte', 'edas', 'keiner', 'aaaahnen', 'und', 'ichbin']",2022-12-10 01:02:35
1601381832586858497,"['horusrage', 'pramkzone', 'husky', 'kuttobaskardo', 'kitsune', 'mucusmucous', 'pookah', 'willsworldview', 'howzitgoinsunny', 'awenature', 'raven', 'briannazarenus', 'scientiapercept', 'leanneaf', 'drsly', 'wpcguy', 'stuartmaxwell', 'rlalbrechttroy', 'garygm', 'cubesteve', 'dadah', 'zirnike', 'daccampofamily', 'dirk', 'philbrown', 'markandrewclar', 'fasshauer', 'ithoughtiwas', 'bumpus', 'creatortiamat', 'arbitraryavatar', 'foxbarlad', 'delusional', 'heathenwombat', 'truthwiththord', 'vellixx', 'patricktheb', 'kraegkust', 'illmakelamb', 'haircutspock', 'massillonat', 'science', 'ihonestlydont', 'bitcoinbabbi', 'michaelsteidel', 'jatapps', 'lumpus', 'shrekvivre', 'impeachqueen']",2022-12-10 01:02:35
1601381835992600576,"['tiffanyandsadie', 'yes']",2022-12-10 01:02:36
1601381837498376192,"['god', 'finally', 'happening', 'roommates', ""b'both"", 'covid']",2022-12-10 01:02:36
1601381837053386753,"['wheeler', 'guy', 'relevant', 'liz']",2022-12-10 01:02:36
1601381835615129600,"['interview', 'intervie', 'engineers', 'swe', 'book', ""b'rt"", 'dream', 'nicksinghtech', 'nsoftware', 'cracking', 'coding', 'job', 'design', 'away', 'nsr']",2022-12-10 01:02:36
1601381837007249409,"['xbb', 'xaf', 'xaa', 'rcz', 'ramos', ""b'rt"", 'xbd', 'xbc', 'xab', 'xbe', 'xbf', 'nhttps', 'xba', 'xae']",2022-12-10 01:02:36
1601381835220873217,"['bocor', 'pening', 'msuk', 'tok', 'bapak', 'mcm', 'setiapp', 'covid', 'hujan', 'taunn', 'aku', ""b'psya"", 'merosot', 'bilik', 'teruk', 'sewa', 'hosp', 'selalu', 'dpt', 'gastric', 'pula', 'rambut', 'gugur', 'kesihatan', 'botak', 'tinggal', 'mau', 'lagi', 'lebat', 'lpsya', 'murah', 'makin', 'kerapp']",2022-12-10 01:02:36
1601381840471740416,"['rapid', 'undercount', 'super', 'likely', 'home', 'bad', 'rsv', 'amidocumentary', 'testing', 'unreported', 'right', 'flu', 'considering']",2022-12-10 01:02:37
1601381839393853442,"['https', 'teamsters', 'mkt', 'davidleonard', 'whitehouse', 'mentalatrofie', 'teamstersob', 'bqc', 'potus']",2022-12-10 01:02:37
1601381842913230848,"['penile', 'remnants', 'dyufjjkqdl', 'case', 'month', 'covid', 'tissue', 'report', 'sarscov', ""b'rt"", 'erictopol', 'nhttps', 'individuals', 'https']",2022-12-10 01:02:38
1601381842707697665,"['nmpagvv', 'denise', 'matching', 'start', 'independent', 'efficacy', 'mikegephart', 'good', 'dewald', 'vaccines', 'https', 'think', 'flu', 'research', 'people', 'learn', 'drericding', 'answer']",2022-12-10 01:02:38
1601381841713639425,"['vergonha', 'kkkkkk', 'milh', 'fraca', 'argumento', 'ngasolina', 'marxbruna', 'kkk', 'est', 'para', 'nvc', 'estudar', 'milho', 'passar', 'muito', 'anta', 'demais', 'bandido', 'hoje', 'pegou', 'ele', 'com', 'defende', 'simpl', 'ria', 'vai', 'ivanvalente']",2022-12-10 01:02:37
1601381839956238337,"[""b'rt"", 'https', 'nhkoblydk', 'contagiar', 'lasolanolima', 'denuncia', 'magneto', 'urgente', 'campora', 'cfk', 'covid']",2022-12-10 01:02:37
1601381841050554368,"['https', 'niceblackdude', 'fxegqmn']",2022-12-10 01:02:37
1601381840405041152,"['micsolana', 'till', 'wait', 'went', 'covid', 'elonmusk', 'note', ""b'rt"", 'bretweinstein', 'involvement', 'going']",2022-12-10 01:02:37
1601381845752479744,"['wait', 'cleared', 'covid', 'younger', 'pmlbz', 'kids', ""b'updated"", 'vaccines', 'https']",2022-12-10 01:02:38
1601381846108934146,"['covid', 'children', 'nwhy', 'does', ""b'rt"", 'senronjohnson', 'vaccines', 'nations', 'banned', 'mainstream', 'dangerous']",2022-12-10 01:02:39
1601381845765328896,"[""b'https"", 'pdfsx']",2022-12-10 01:02:38
1601381846272471040,"['https', ""b'stupid"", 'mkhvvteico', 'stupid']",2022-12-10 01:02:39
1601381845974732800,"[""b'rt"", 'elisaperego']",2022-12-10 01:02:38
1601381844062154752,"['person', 'eciralmeyq', 'black', 'accessory', 'fentanyl', 'got', 'covid', 'yrs', 'method', 'jail', 'worry', 'chuckmodi', 'nnow', 'killers', 'man', 'murder', 'century', 'https', 'away', 'murdering']",2022-12-10 01:02:38
1601381845798903808,"['aged', 'corona', 'cbcnewsbc', 'approved', 'covid', 'health', 'children', 'targets', ""b'rt"", 'canada', 'variants', 'booster', 'recent', 'vaccine']",2022-12-10 01:02:38
1601381848801648640,"['walshfreedom', 'partesanjournal', 'hoax']",2022-12-10 01:02:39
1601381848923668482,"['richardursomd', 'longer', 'appears', 'doghouse', 'elon', 'followers', 'nfinally', 'finally', ""b'rt"", 'shout', 'twitter', 'gaining']",2022-12-10 01:02:39
1601381847782641664,"['bieten', 'spritzen', 'jedem', 'zuverl', 'covid', 'jeanneturczynsk', 'das', ""b'rt"", 'ganz', 'martinschweiz', 'gar', 'reagiert', 'bei', 'individuell', 'keinen', 'immunsystem']",2022-12-10 01:02:39
1601381850328731649,"['spend', 'taxpayer', 'foxnews', 'money', 'efficiently']",2022-12-10 01:02:40
1601381850580410369,"['stanford', 'lockdowns', 'drjbhattacharya', 'covid', 'children', 'bariweiss', ""b'rt"", 'harm', 'argued', 'jay', 'example', 'bhattacharya']",2022-12-10 01:02:40
1601381848894296065,"['attending', 'gave', 'covid', 'cancelled', 'just', 'saved', 'gift', 'year', 'remember', 'best', 'birthday', 'party', 'cheapseats']",2022-12-10 01:02:39
1601381848156110848,"['zerohedge', 'heard']",2022-12-10 01:02:39
